prodID_TPCW;custID_TPCW;invoice_TPCW;amt;discounted;qty;salesDate
54;27;143;383;0;146;2005-12-
27;27;143;171;0;75;2005-12-
47;27;143;281;0;52;2005-12-
81;27;143;334;0;184;2005-12-
30;29;144;189;0;43;2005-05-
103;29;145;112;0;86;2006-05-
73;27;146;383;0;190;2006-12-
26;27;146;185;0;44;2006-12-
105;27;146;215;0;183;2006-12-
46;15;147;309;0;192;2008-08-
45;34;148;322;0;33;2005-01-
81;34;148;255;0;200;2005-01-
56;12;149;154;0;92;2009-09-
16;15;150;312;0;47;2005-08-
12;15;150;196;0;72;2005-08-
75;12;151;143;0;123;2005-09-
84;15;152;367;0;72;2007-08-
50;15;152;179;0;161;2007-08-
105;15;152;252;0;118;2007-08-
8;37;153;142;0;11;2007-09-
94;37;154;202;0;104;2006-09-
23;37;154;234;0;80;2006-09-
65;33;155;308;0;186;2005-05-
98;33;156;114;0;195;2006-05-
16;33;157;126;0;199;2007-05-
77;33;157;142;0;37;2007-05-
60;33;157;173;0;19;2007-05-
84;11;158;355;0;173;2009-09-
93;20;159;248;0;29;2009-03-
87;33;160;237;0;182;2009-05-
23;33;160;184;0;87;2009-05-
31;34;161;283;0;133;2008-01-
1;34;161;237;0;191;2008-01-
59;5;162;292;0;166;2010-09-
8;32;163;298;0;54;2010-05-
51;8;164;212;0;90;2009-12-
81;12;165;287;0;179;2010-09-
25;39;166;215;0;144;2006-11-
60;39;166;276;0;49;2006-11-
52;39;166;154;0;32;2006-11-
17;39;166;287;0;34;2006-11-
42;39;166;230;0;119;2006-11-
80;39;167;319;0;195;2007-11-
37;39;168;267;0;74;2008-11-
2;39;168;366;0;169;2008-11-
49;39;168;351;0;100;2008-11-
98;39;169;264;0;187;2009-11-
50;26;170;377;0;113;2009-06-
73;34;171;163;0;139;2010-04-
99;34;171;167;0;103;2010-04-
74;26;172;187;0;11;2006-06-
40;26;172;175;0;56;2006-06-
1;26;172;137;0;14;2006-06-
16;26;172;352;0;29;2006-06-
48;26;173;258;0;183;2005-06-
35;6;174;115;0;64;2007-09-
97;18;175;172;0;199;2009-04-
51;3;176;284;0;44;2010-07-
21;9;177;238;0;153;2009-04-
72;23;178;223;0;29;2010-08-
49;6;179;212;0;111;2005-09-
3;6;179;330;0;144;2005-09-
72;18;180;217;0;155;2005-04-
12;18;181;101;0;122;2007-04-
65;18;182;145;0;42;2006-04-
25;18;182;210;0;171;2006-04-
72;38;183;130;0;106;2010-07-
60;38;183;305;0;97;2010-07-
92;38;183;355;0;61;2010-07-
92;31;184;313;0;22;2005-09-
83;31;185;349;0;38;2006-09-
71;31;185;116;0;19;2006-09-
95;31;186;144;0;46;2007-09-
91;31;187;188;0;164;2005-05-
101;31;188;130;0;101;2007-05-
33;31;188;244;0;152;2007-05-
52;31;188;207;0;197;2007-05-
104;31;188;394;0;73;2007-05-
82;31;189;291;0;14;2006-05-
77;31;190;395;0;21;2009-05-
42;31;191;210;0;105;2008-05-
96;31;192;392;0;75;2008-09-
36;27;193;175;0;123;2010-09-
9;10;194;235;0;161;2008-08-
75;10;194;101;0;165;2008-08-
74;23;195;169;0;79;2009-03-
82;18;196;278;0;115;2006-03-
54;10;197;143;0;77;2005-08-
61;10;197;240;0;128;2005-08-
88;23;198;117;0;77;2006-03-
11;10;199;160;0;42;2007-08-
54;10;199;315;0;130;2007-08-
13;29;200;115;0;53;2008-07-
55;29;201;298;0;148;2009-07-
81;29;201;365;0;195;2009-07-
34;29;201;142;0;47;2009-07-
67;29;201;109;0;139;2009-07-
94;32;202;332;0;113;2006-03-
45;32;203;364;0;112;2005-03-
6;32;203;219;0;101;2005-03-
17;32;204;179;0;90;2008-03-
42;32;205;310;0;57;2009-03-
73;29;206;258;0;41;2005-07-
86;35;207;268;0;41;2010-08-
38;35;207;242;0;81;2010-08-
62;26;208;382;0;157;2005-12-
36;25;209;382;0;88;2009-07-
12;25;210;192;0;169;2005-07-
38;25;210;397;0;66;2005-07-
54;25;210;300;0;99;2005-07-
75;25;211;264;0;84;2006-07-
59;25;211;325;0;155;2006-07-
53;12;212;166;0;190;2010-02-
31;26;213;155;0;150;2007-02-
102;32;214;374;0;105;2005-08-
23;32;214;112;0;101;2005-08-
41;32;214;342;0;70;2005-08-
100;3;215;112;0;85;2009-10-
63;3;216;389;0;139;2008-10-
28;4;217;349;0;69;2009-02-
77;3;218;246;0;146;2007-10-
15;32;219;347;0;44;2009-08-
58;26;220;261;0;152;2009-02-
60;26;220;252;0;182;2009-02-
77;26;221;100;0;176;2008-02-
60;26;221;297;0;57;2008-02-
79;26;221;249;0;126;2008-02-
38;21;222;142;0;105;2009-08-
34;33;223;132;0;145;2009-07-
92;33;224;213;0;82;2008-07-
84;4;225;337;0;159;2010-09-
67;4;225;268;0;13;2010-09-
66;31;226;298;0;197;2009-06-
91;16;227;178;0;64;2007-07-
94;16;227;272;0;41;2007-07-
38;20;228;165;0;143;2008-02-
95;7;229;119;0;112;2008-02-
54;7;229;250;0;48;2008-02-
30;7;230;363;0;111;2010-08-
14;11;231;391;0;193;2009-08-
52;11;231;334;0;31;2009-08-
19;7;232;126;0;69;2009-02-
76;16;233;329;0;117;2009-07-
103;16;234;159;0;64;2008-07-
88;16;234;301;0;67;2008-07-
12;16;234;159;0;171;2008-07-
89;20;235;379;0;41;2005-02-
18;20;235;400;0;161;2005-02-
33;20;235;209;0;33;2005-02-
91;23;236;152;0;158;2006-05-
60;23;236;395;0;28;2006-05-
92;23;236;186;0;127;2006-05-
87;23;237;323;0;64;2005-05-
102;29;238;277;0;167;2006-12-
18;29;239;122;0;165;2005-12-
101;38;240;249;0;188;2009-10-
22;14;241;385;0;109;2009-02-
6;16;242;222;0;179;2008-11-
105;16;242;136;0;62;2008-11-
5;7;243;305;0;28;2005-02-
18;11;244;157;0;90;2009-10-
64;4;245;374;0;184;2007-02-
52;4;245;163;0;48;2007-02-
97;35;246;387;0;35;2006-11-
70;35;247;297;0;52;2007-11-
58;35;247;356;0;85;2007-11-
60;11;248;167;0;137;2005-10-
26;11;248;147;0;196;2005-10-
49;35;249;275;0;167;2005-11-
45;35;249;127;0;35;2005-11-
85;27;250;271;0;164;2010-04-
40;27;250;239;0;166;2010-04-
6;38;251;212;0;77;2010-05-
58;25;252;187;0;173;2010-10-
15;32;253;323;0;18;2010-05-
104;32;253;147;0;103;2010-05-
89;3;254;400;0;121;2010-02-
87;19;255;101;0;158;2009-05-
53;19;255;157;0;190;2009-05-
14;19;255;324;0;77;2009-05-
24;3;256;290;0;164;2008-01-
91;19;257;295;0;177;2007-12-
33;12;258;255;0;27;2009-04-
24;12;258;287;0;53;2009-04-
70;19;259;304;0;127;2006-12-
29;12;260;276;0;139;2008-07-
85;20;261;244;0;37;2007-06-
45;20;262;348;0;115;2006-06-
92;20;262;106;0;166;2006-06-
65;20;263;163;0;138;2006-11-
21;17;264;321;0;102;2009-10-
10;17;264;261;0;105;2009-10-
61;17;265;299;0;98;2008-10-
97;17;265;219;0;119;2008-10-
55;17;265;283;0;133;2008-10-
15;26;266;249;0;10;2010-03-
58;26;266;369;0;167;2010-03-
68;20;267;162;0;151;2008-06-
39;26;268;154;0;32;2009-12-
78;26;269;342;0;149;2008-12-
64;26;269;172;0;143;2008-12-
10;7;270;156;0;70;2007-06-
42;7;270;373;0;45;2007-06-
7;36;271;322;0;200;2009-10-
5;36;272;115;0;31;2008-10-
100;36;273;348;0;72;2006-10-
77;36;273;287;0;181;2006-10-
45;36;273;271;0;163;2006-10-
99;7;274;310;0;175;2008-06-
61;26;275;371;0;176;2005-12-
16;26;275;143;0;120;2005-12-
52;26;276;300;0;36;2007-12-
13;26;276;284;0;112;2007-12-
86;26;276;339;0;170;2007-12-
93;3;277;248;0;142;2008-02-
74;5;278;119;0;64;2006-04-
25;5;278;156;0;70;2006-04-
40;3;279;164;0;106;2005-02-
68;3;280;116;0;172;2007-02-
44;3;280;246;0;84;2007-02-
93;3;281;331;0;192;2006-02-
94;22;282;159;0;163;2008-12-
96;22;282;156;0;21;2008-12-
82;22;283;136;0;151;2009-12-
61;22;283;237;0;118;2009-12-
76;2;284;214;0;46;2007-05-
70;8;285;312;0;124;2005-04-
84;32;286;308;0;85;2008-07-
3;32;286;154;0;129;2008-07-
49;32;286;169;0;44;2008-07-
42;32;286;174;0;127;2008-07-
76;15;287;170;0;198;2006-09-
87;15;287;308;0;56;2006-09-
20;15;287;106;0;37;2006-09-
61;15;288;175;0;184;2009-09-
56;15;288;362;0;143;2009-09-
34;15;288;377;0;113;2009-09-
104;15;289;217;0;159;2008-09-
7;32;290;227;0;105;2005-07-
20;22;291;282;0;149;2005-12-
32;22;292;195;0;96;2006-12-
41;22;292;271;0;152;2006-12-
58;22;293;307;0;165;2007-12-
91;39;294;248;0;64;2008-03-
79;39;294;114;0;168;2008-03-
78;39;294;194;0;91;2008-03-
9;39;294;305;0;111;2008-03-
57;37;295;111;0;110;2010-05-
47;37;295;187;0;104;2010-05-
20;37;295;153;0;31;2010-05-
105;37;295;336;0;194;2010-05-
37;37;295;184;0;52;2010-05-
92;2;296;183;0;66;2009-01-
18;25;297;310;0;184;2010-01-
43;25;297;170;0;139;2010-01-
18;40;298;377;0;138;2009-12-
99;40;298;336;0;158;2009-12-
51;39;299;193;0;93;2006-03-
33;39;300;309;0;126;2007-03-
45;39;300;264;0;34;2007-03-
41;39;300;364;0;94;2007-03-
89;28;301;365;0;168;2009-05-
66;28;301;219;0;156;2009-05-
84;28;302;209;0;84;2008-05-
99;4;303;288;0;155;2008-08-
56;40;304;207;0;24;2008-12-
6;40;304;323;0;46;2008-12-
15;40;304;190;0;99;2008-12-
54;40;304;292;0;185;2008-12-
37;40;305;342;0;117;2010-01-
24;40;305;272;0;188;2010-01-
34;4;306;122;0;167;2010-09-
13;28;307;195;0;166;2007-05-
49;4;308;145;0;56;2005-08-
89;27;309;234;0;61;2005-12-
48;9;310;151;0;147;2005-05-
105;27;311;350;0;187;2007-12-
9;36;312;276;0;21;2009-09-
92;9;313;384;0;103;2008-05-
28;9;313;362;0;90;2008-05-
11;9;314;361;0;168;2009-05-
31;9;314;397;0;109;2009-05-
68;36;315;248;0;189;2005-09-
14;36;315;302;0;189;2005-09-
77;36;315;349;0;47;2005-09-
31;4;316;107;0;21;2005-11-
92;4;316;378;0;113;2005-11-
94;4;317;390;0;173;2006-11-
31;4;318;146;0;90;2006-08-
20;5;319;382;0;178;2008-12-
93;26;320;309;0;26;2010-01-
86;26;320;191;0;43;2010-01-
64;26;320;132;0;195;2010-01-
13;21;321;296;0;98;2010-02-
19;4;322;333;0;185;2009-11-
26;4;322;386;0;189;2009-11-
22;31;323;149;0;140;2010-05-
75;20;324;123;0;153;2009-04-
74;20;325;207;0;110;2008-04-
48;20;326;372;0;187;2005-04-
39;20;326;278;0;66;2005-04-
88;4;327;289;0;46;2006-09-
49;20;328;318;0;179;2007-04-
35;20;329;248;0;192;2006-04-
41;34;330;140;0;196;2010-06-
1;34;331;199;0;36;2007-05-
55;34;331;213;0;137;2007-05-
45;37;332;399;0;124;2005-08-
34;37;333;147;0;32;2007-08-
17;15;334;120;0;100;2008-03-
16;20;335;218;0;155;2005-05-
14;11;336;347;0;165;2007-09-
24;38;337;338;0;16;2010-01-
36;37;338;311;0;89;2009-08-
97;37;338;196;0;181;2009-08-
70;37;339;283;0;175;2008-08-
101;30;340;354;0;168;2005-01-
102;2;341;395;0;185;2007-05-
40;21;342;133;0;65;2005-08-
37;21;342;100;0;53;2005-08-
58;21;343;207;0;119;2009-08-
86;21;343;208;0;187;2009-08-
12;21;343;242;0;196;2009-08-
40;21;344;358;0;179;2008-08-
85;21;344;118;0;105;2008-08-
4;21;344;107;0;173;2008-08-
44;21;344;243;0;108;2008-08-
57;21;344;368;0;168;2008-08-
81;7;345;306;0;75;2009-06-
105;7;345;295;0;134;2009-06-
57;7;345;131;0;98;2009-06-
28;7;345;199;0;174;2009-06-
5;30;346;161;0;168;2008-01-
59;6;347;210;0;111;2006-12-
55;6;347;322;0;58;2006-12-
76;6;348;306;0;186;2005-12-
45;6;348;120;0;99;2005-12-
7;6;348;302;0;144;2005-12-
83;30;349;319;0;89;2010-06-
48;30;349;124;0;88;2010-06-
95;26;350;280;0;84;2006-01-
21;26;350;314;0;165;2006-01-
7;6;351;202;0;120;2008-12-
31;6;351;226;0;168;2008-12-
39;23;352;281;0;71;2010-06-
77;30;353;387;0;194;2007-04-
71;30;354;378;0;127;2006-04-
105;37;355;256;0;188;2007-04-
88;37;355;357;0;180;2007-04-
2;21;356;144;0;149;2005-09-
33;20;357;251;0;190;2005-03-
58;20;357;249;0;175;2005-03-
3;6;358;299;0;126;2005-12-
79;6;359;230;0;148;2007-12-
62;6;360;273;0;97;2006-12-
62;37;361;188;0;105;2009-04-
78;37;361;257;0;126;2009-04-
34;30;362;149;0;47;2009-04-
22;1;363;365;0;184;2010-10-
91;1;363;249;0;138;2010-10-
29;1;363;251;0;125;2010-10-
89;1;363;389;0;136;2010-10-
19;1;363;186;0;169;2010-10-
27;28;364;245;0;106;2008-07-
36;28;365;304;0;139;2009-07-
92;5;366;209;0;17;2009-11-
61;5;366;137;0;104;2009-11-
4;27;367;114;0;192;2005-02-
69;27;367;128;0;46;2005-02-
57;14;368;252;0;112;2006-03-
50;27;369;391;0;80;2007-02-
39;27;369;207;0;29;2007-02-
89;27;369;162;0;120;2007-02-
67;27;370;251;0;124;2006-02-
16;27;371;269;0;99;2009-02-
87;27;372;275;0;145;2008-02-
76;27;372;195;0;80;2008-02-
37;14;373;389;0;140;2009-03-
58;14;373;370;0;56;2009-03-
18;5;374;161;0;171;2006-11-
14;5;374;347;0;195;2006-11-
5;5;375;351;0;12;2007-11-
25;28;376;218;0;39;2007-07-
93;8;377;270;0;150;2005-11-
37;8;377;381;0;109;2005-11-
86;8;378;288;0;109;2007-11-
48;8;379;356;0;123;2006-11-
59;8;379;240;0;155;2006-11-
96;8;379;240;0;92;2006-11-
53;8;380;260;0;17;2008-11-
21;32;381;304;0;196;2006-12-
32;32;381;344;0;114;2006-12-
36;32;382;243;0;151;2007-12-
84;32;382;131;0;134;2007-12-
28;32;382;295;0;10;2007-12-
88;5;383;387;0;180;2009-10-
93;2;384;303;0;114;2008-06-
4;8;385;379;0;162;2007-08-
38;8;386;177;0;47;2007-02-
29;8;386;344;0;48;2007-02-
28;8;386;172;0;126;2007-02-
32;8;387;382;0;160;2009-02-
83;8;387;153;0;39;2009-02-
60;24;388;390;0;59;2010-02-
102;24;388;378;0;151;2010-02-
80;8;389;340;0;198;2008-08-
35;8;389;275;0;63;2008-08-
55;27;390;153;0;133;2009-07-
25;27;390;320;0;191;2009-07-
45;27;390;175;0;124;2009-07-
15;40;391;231;0;23;2009-12-
52;25;392;279;0;144;2008-12-
66;15;393;146;0;190;2009-09-
104;15;393;271;0;107;2009-09-
28;12;394;377;0;31;2005-09-
82;12;395;217;0;169;2007-09-
89;12;395;104;0;27;2007-09-
94;7;396;200;0;43;2006-06-
54;12;397;238;0;183;2009-09-
73;12;398;319;0;98;2008-09-
21;25;399;343;0;37;2006-12-
43;25;400;362;0;179;2007-12-
87;25;401;148;0;150;2005-12-
57;24;402;231;0;28;2005-02-
23;1;403;146;0;106;2009-08-
87;31;404;190;0;180;2007-05-
45;31;404;290;0;15;2007-05-
56;24;405;370;0;183;2006-11-
85;31;406;110;0;49;2005-05-
93;24;407;317;0;95;2008-11-
90;24;407;266;0;198;2008-11-
91;24;408;249;0;71;2009-11-
15;24;408;386;0;197;2009-11-
27;24;408;370;0;197;2009-11-
33;31;409;184;0;92;2008-05-
12;31;410;301;0;63;2009-05-
44;1;411;129;0;52;2006-08-
98;1;412;221;0;160;2007-08-
104;18;413;356;0;22;2010-07-
57;34;414;259;0;88;2007-01-
15;34;415;223;0;82;2005-01-
37;34;415;145;0;80;2005-01-
94;34;415;125;0;12;2005-01-
11;15;416;108;0;77;2008-02-
13;15;416;337;0;155;2008-02-
47;15;416;133;0;111;2008-02-
41;15;417;361;0;104;2007-02-
70;34;418;267;0;117;2009-01-
29;34;419;315;0;179;2008-01-
43;28;420;174;0;145;2005-01-
88;1;421;297;0;192;2006-11-
58;1;421;384;0;100;2006-11-
47;28;422;231;0;73;2006-01-
38;28;422;165;0;77;2006-01-
47;2;423;159;0;34;2010-09-
9;2;423;333;0;34;2010-09-
5;1;424;229;0;198;2008-11-
51;1;424;315;0;41;2008-11-
21;28;425;306;0;103;2008-01-
81;28;425;194;0;155;2008-01-
6;28;425;290;0;75;2008-01-
79;1;426;182;0;159;2006-12-
71;1;426;290;0;105;2006-12-
20;15;427;390;0;110;2009-11-
32;27;428;400;0;162;2009-11-
57;27;428;359;0;63;2009-11-
84;27;429;359;0;25;2007-11-
53;27;430;258;0;198;2006-11-
13;15;431;278;0;100;2008-11-
5;15;431;163;0;138;2008-11-
58;15;431;214;0;22;2008-11-
28;4;432;185;0;80;2006-01-
39;4;432;307;0;12;2006-01-
93;10;433;315;0;189;2008-01-
2;10;434;363;0;118;2009-01-
43;11;435;244;0;138;2009-04-
59;4;436;118;0;176;2007-01-
74;4;436;219;0;102;2007-01-
86;11;437;163;0;95;2005-12-
29;11;437;395;0;135;2005-12-
51;11;437;245;0;127;2005-12-
55;10;438;377;0;44;2005-01-
26;10;439;327;0;95;2006-01-
67;11;440;358;0;175;2006-12-
72;15;441;230;0;31;2005-11-
60;15;441;355;0;94;2005-11-
29;4;442;205;0;158;2008-09-
36;4;442;357;0;42;2008-09-
98;24;443;391;0;191;2007-11-
53;26;444;235;0;163;2007-07-
55;26;444;334;0;75;2007-07-
84;26;444;197;0;112;2007-07-
95;26;445;235;0;60;2005-07-
83;26;445;136;0;169;2005-07-
48;26;446;143;0;61;2008-07-
95;26;446;268;0;113;2008-07-
59;26;446;214;0;118;2008-07-
49;4;447;282;0;184;2006-09-
54;4;448;157;0;170;2007-09-
96;4;448;379;0;61;2007-09-
3;16;449;188;0;129;2010-09-
94;16;449;329;0;130;2010-09-
35;9;450;257;0;42;2006-11-
86;9;451;229;0;43;2007-11-
76;32;452;280;0;95;2005-10-
53;9;453;148;0;129;2005-11-
103;2;454;372;0;89;2009-01-
55;2;454;268;0;78;2009-01-
34;2;455;295;0;197;2008-01-
25;11;456;379;0;23;2009-04-
100;11;457;298;0;191;2008-04-
35;12;458;145;0;86;2009-09-
81;26;459;279;0;124;2007-08-
9;26;459;343;0;183;2007-08-
98;3;460;105;0;176;2005-06-
57;3;460;205;0;46;2005-06-
34;3;461;335;0;159;2007-06-
84;3;461;172;0;80;2007-06-
51;8;462;138;0;171;2009-11-
103;8;462;139;0;189;2009-11-
47;8;463;111;0;176;2008-11-
19;40;464;229;0;37;2006-03-
60;40;464;145;0;92;2006-03-
48;40;465;343;0;156;2009-03-
55;40;466;160;0;31;2008-03-
71;40;466;280;0;159;2008-03-
73;8;467;122;0;51;2006-11-
43;8;467;183;0;108;2006-11-
29;12;468;153;0;91;2010-05-
30;12;468;137;0;89;2010-05-
21;12;468;163;0;141;2010-05-
78;30;469;143;0;70;2005-10-
87;30;469;220;0;152;2005-10-
33;40;470;140;0;21;2007-07-
75;30;471;315;0;55;2007-10-
41;30;472;370;0;87;2006-10-
51;30;473;247;0;10;2009-10-
32;40;474;209;0;26;2008-07-
35;40;474;377;0;95;2008-07-
56;30;475;130;0;180;2010-07-
7;25;476;276;0;64;2005-03-
45;25;476;172;0;192;2005-03-
